ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_1_1_m00000-1_m00902_felt1___20260313-145945.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_1_hp1_f1_20260313-145945

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:59:45
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 902
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 0
Kjørefelt		: 1
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 902,268820874122
Kjørefelt		: 1
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 901	: 1	: 	: 1	: 1	: -1	: 903

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
1,0	1	0,0	1	1,0	20,9	163,8	0,2	2000	NaN	NaN	C	340	65,4	69,7	55	59,3614674	24,7165174	6620655,21	1051093,30	-96,1	320,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,7	20,0	-96,7	20,8	-96,1	20,9	163,8	0,2	320,8	63,7	18,6	-96,7	18,6	-16,3	18,6	163,1	0,2	132,0	63,7	22,0	-96,7	22,5	-96,1	22,8	163,1	0,2	382,3	59,3	50,2	-90,5	45,9	-179,2	0,0	150,9	0,2	0,0	63,7	11,1	-96,7	11,1	-179,2	23,2	163,1	0,2	224,8	65,7	20,0	-96,7	20,8	-96,1	20,9	163,8	0,2	320,8	
2,0	1	1,0	1	2,0	20,6	162,4	0,1	2000	NaN	NaN	C	403	65,4	69,7	55	59,3614587	24,7165112	6620654,19	1051093,09	-95,4	316,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	64,9	20,3	-96,9	20,1	-95,4	20,6	162,4	0,1	316,4	64,9	18,2	-96,9	18,2	-18,1	18,2	161,8	0,0	130,9	64,9	22,5	-96,9	22,2	60,5	22,9	161,8	0,0	390,2	59,9	50,5	-89,3	45,8	-179,3	0,0	149,7	0,0	0,0	64,9	11,4	-96,1	10,6	-179,2	23,7	160,7	0,1	225,4	64,9	20,3	-96,9	20,1	-95,4	20,6	162,4	0,1	316,4	
3,0	1	2,0	1	3,0	20,7	164,2	0,1	2000	NaN	NaN	C	458	65,4	69,7	55	59,3614500	24,7165049	6620653,18	1051092,88	-96,8	309,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,6	19,3	-97,5	20,5	-96,8	20,7	164,2	0,1	309,8	65,1	18,4	-96,5	18,4	-20,5	18,4	161,6	0,1	134,7	64,8	21,6	-97,2	22,6	-96,3	22,9	161,7	0,1	382,1	57,6	49,9	-89,9	46,0	-179,5	0,0	147,4	0,1	0,0	65,1	11,1	-96,5	11,1	-179,4	23,4	161,6	0,1	223,2	65,6	19,3	-97,5	20,5	-96,8	20,7	164,2	0,1	309,8	
4,0	1	3,0	1	4,0	20,1	162,0	0,1	2000	NaN	NaN	C	507	65,4	69,7	55	59,3614424	24,7164992	6620652,29	1051092,68	-97,5	311,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	64,4	19,7	-97,6	20,1	-97,5	20,1	162,0	0,1	311,3	63,9	18,1	-97,6	18,1	-19,9	18,1	160,7	0,0	128,9	63,9	22,1	-97,6	22,1	-95,5	22,4	160,7	0,0	379,9	59,2	50,3	-89,2	45,7	-179,5	0,0	149,7	0,0	0,0	63,9	11,3	-96,9	10,6	-179,5	23,1	159,9	0,1	219,9	64,4	19,7	-97,6	20,1	-97,5	20,1	162,0	0,1	311,3	
5,0	1	4,0	1	5,0	20,0	161,5	-0,1	2000	NaN	NaN	C	562	65,5	69,7	55	59,3614337	24,7164930	6620651,28	1051092,47	-95,7	309,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,1	19,5	-96,4	19,9	-95,7	20,0	161,5	-0,1	309,9	63,6	17,6	-96,2	17,6	-15,1	17,6	160,5	-0,1	122,2	63,6	22,0	-96,2	22,0	-95,7	22,3	160,5	-0,1	384,8	58,4	50,3	-88,8	45,9	-179,4	0,0	147,9	-0,1	0,0	63,6	11,2	-96,2	10,7	-179,2	23,1	160,5	-0,1	218,2	65,1	19,5	-96,4	19,9	-95,7	20,0	161,5	-0,1	309,9	
6,0	1	5,0	1	6,0	20,3	165,8	-0,1	2000	NaN	NaN	C	624	65,5	69,7	55	59,3614250	24,7164867	6620650,26	1051092,26	-98,2	306,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,8	19,1	-98,9	20,3	-98,2	20,3	165,8	-0,1	306,7	65,1	17,5	-98,2	17,5	-14,5	17,5	163,3	-0,1	128,8	63,8	21,4	-98,2	21,5	-96,2	22,2	160,5	-0,1	379,8	58,7	49,9	-89,2	44,9	-179,2	0,0	147,3	-0,1	0,0	65,1	11,0	-96,8	10,3	-179,2	23,0	161,4	-0,1	215,5	65,8	19,1	-98,9	20,3	-98,2	20,3	165,8	-0,1	306,7	
7,0	1	6,0	1	7,0	20,6	159,9	-0,1	2000	NaN	NaN	C	673	65,6	69,7	55	59,3614174	24,7164812	6620649,37	1051092,07	-94,8	310,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	63,2	19,5	-96,0	20,6	-94,8	20,6	159,9	-0,1	310,9	63,2	17,8	-94,1	17,8	-18,7	17,8	158,6	-0,1	121,0	63,2	22,2	-94,1	23,0	-91,5	23,0	158,6	-0,1	393,9	58,0	50,7	-88,0	46,6	-179,4	0,0	146,1	-0,1	0,0	63,2	10,9	-94,1	11,2	-179,4	23,5	159,1	-0,1	219,1	63,2	19,5	-96,0	20,6	-94,8	20,6	159,9	-0,1	310,9	
8,0	1	7,0	1	8,0	21,1	162,6	-0,2	2000	NaN	NaN	C	728	65,6	69,7	55	59,3614087	24,7164749	6620648,36	1051091,86	-97,3	321,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,8	20,3	-97,8	21,1	-97,3	21,1	162,6	-0,2	321,0	65,4	18,6	-97,1	18,6	-21,1	18,6	161,8	-0,2	134,9	65,8	22,7	-97,2	23,6	-96,8	23,8	162,6	-0,2	401,8	58,6	51,0	-89,9	47,3	-179,3	0,0	148,5	-0,2	0,0	65,4	11,6	-97,1	11,4	-179,2	24,3	161,8	-0,2	226,2	65,8	20,3	-97,8	21,1	-97,3	21,1	162,6	-0,2	321,0	
9,0	1	8,0	1	9,0	21,4	162,2	-0,2	2000	NaN	NaN	C	784	65,6	69,7	55	59,3613999	24,7164687	6620647,34	1051091,65	-98,1	325,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,4	19,4	-98,1	21,4	-98,1	21,4	162,2	-0,2	325,3	65,1	18,5	-96,1	18,5	-14,2	18,5	160,8	-0,2	135,7	65,1	22,1	-96,1	23,3	-96,1	23,3	160,8	-0,2	395,5	59,4	50,4	-89,4	46,8	-179,2	0,0	148,5	-0,2	0,0	65,1	10,8	-96,1	11,4	-177,6	23,8	160,8	-0,2	224,2	65,4	19,4	-98,1	21,4	-98,1	21,4	162,2	-0,2	325,3	
10,0	1	9,0	1	10,0	21,0	162,3	-0,3	2000	NaN	NaN	C	839	65,7	69,7	55	59,3613924	24,7164631	6620646,46	1051091,46	-97,3	319,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	65,0	19,5	-98,1	20,9	-97,3	21,0	162,3	-0,3	319,0	65,0	18,3	-97,7	18,3	-17,1	18,3	162,0	-0,2	129,9	65,0	22,0	-97,7	22,9	-96,6	23,0	162,0	-0,2	397,7	60,5	50,4	-91,0	46,3	-179,5	0,0	150,9	-0,2	0,0	65,0	11,0	-97,7	11,2	-177,1	23,4	162,0	-0,3	222,5	65,0	19,5	-98,1	20,9	-97,3	21,0	162,3	-0,3	319,0	
