ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_1_1_m00000-1_m00898_felt1___20260313-145521.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_1_hp1_f1_20260313-145521

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:55:21
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 898
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 0
Kjørefelt		: 1
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 898,730734351469
Kjørefelt		: 1
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 898	: 1	: 	: 1	: 1	: -1	: 899

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
1,0	1	0,0	1	1,0	20,4	163,2	0,4	2000	NaN	NaN	C	326	62,7	70,1	55	59,3614673	24,7165257	6620655,27	1051093,77	-77,2	302,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	84,1	19,8	-79,1	20,4	-77,2	20,4	163,2	0,4	302,8	84,1	18,5	-78,8	18,5	-5,7	18,5	162,6	0,5	136,1	84,0	20,8	-79,1	21,9	-77,2	22,0	162,0	0,5	344,1	76,3	46,1	-72,6	47,1	-179,5	0,0	150,6	0,5	0,0	84,0	10,2	-79,1	12,3	179,4	23,7	162,0	0,4	222,4	84,1	19,8	-79,1	20,4	-77,2	20,4	163,2	0,4	302,8	
2,0	1	1,0	1	2,0	20,4	161,8	0,3	2000	NaN	NaN	C	382	62,8	70,1	55	59,3614590	24,7165198	6620654,29	1051093,57	-78,4	300,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	82,7	19,5	-78,8	20,4	-78,4	20,4	161,8	0,3	300,6	82,7	18,7	-78,8	18,7	-4,2	18,7	161,8	0,4	134,1	82,7	20,8	-78,8	21,8	-78,4	21,9	161,8	0,4	346,9	75,7	46,4	-72,2	47,7	-179,6	0,0	148,3	0,4	0,0	82,1	10,3	-78,8	12,2	179,5	23,5	161,8	0,3	223,1	82,7	19,5	-78,8	20,4	-78,4	20,4	161,8	0,3	300,6	
3,0	1	2,0	1	3,0	20,3	162,8	0,2	2000	NaN	NaN	C	437	62,8	70,1	56	59,3614506	24,7165137	6620653,32	1051093,36	-78,8	293,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	83,2	19,1	-79,8	20,1	-78,8	20,3	162,8	0,2	293,9	82,3	18,3	-78,8	18,3	-3,9	18,3	162,1	0,3	130,2	81,1	20,2	-78,8	21,4	-78,2	21,6	159,8	0,3	343,3	75,4	46,4	-73,8	47,7	-179,6	0,0	149,5	0,3	0,0	81,1	10,1	-78,8	12,0	179,5	22,8	160,5	0,2	221,7	83,2	19,1	-79,8	20,1	-78,8	20,3	162,8	0,2	293,9	
4,0	1	3,0	1	4,0	19,6	164,4	0,3	2000	NaN	NaN	C	500	62,8	70,1	55	59,3614423	24,7165077	6620652,35	1051093,16	-79,8	289,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	83,3	18,7	-79,8	19,6	-79,8	19,6	164,4	0,3	289,4	83,3	18,1	-79,2	18,1	-1,6	18,1	161,6	0,3	126,1	82,8	20,0	-79,2	21,1	-76,5	21,1	161,6	0,3	332,4	73,4	46,2	-73,3	47,6	-179,6	0,0	147,3	0,3	0,0	81,3	9,9	-79,8	11,8	179,7	22,3	161,8	0,3	213,2	83,3	18,7	-79,8	19,6	-79,8	19,6	164,4	0,3	289,4	
5,0	1	4,0	1	5,0	20,1	164,6	0,1	2000	NaN	NaN	C	555	62,8	70,1	56	59,3614339	24,7165016	6620651,37	1051092,96	-80,5	296,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	82,8	18,6	-81,1	20,1	-80,5	20,1	164,6	0,1	296,9	82,8	18,0	-80,4	18,0	-2,2	18,0	162,2	0,2	130,4	82,8	20,2	-80,4	22,1	-79,5	22,2	162,2	0,2	348,1	74,1	46,2	-74,2	47,0	-179,8	0,0	148,3	0,2	0,0	81,1	10,0	-80,4	11,9	179,3	23,0	161,9	0,1	219,6	82,8	18,6	-81,1	20,1	-80,5	20,1	164,6	0,1	296,9	
6,0	1	5,0	1	6,0	19,6	160,9	0,1	2000	NaN	NaN	C	611	63,0	70,1	56	59,3614255	24,7164958	6620650,39	1051092,76	-78,8	287,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	82,5	19,2	-79,4	19,6	-78,8	19,6	160,9	0,1	287,3	82,5	18,1	-79,1	18,1	-5,6	18,1	159,9	0,2	124,8	82,5	20,4	-79,4	21,2	-79,4	21,2	159,9	0,2	332,1	75,8	45,9	-73,1	46,0	-179,7	0,0	149,0	0,2	0,0	81,5	10,5	-79,4	11,8	178,3	22,2	158,9	0,1	215,6	82,5	19,2	-79,4	19,6	-78,8	19,6	160,9	0,1	287,3	
7,0	1	6,0	1	7,0	21,1	159,8	0,2	2000	NaN	NaN	C	666	63,0	70,1	55	59,3614172	24,7164898	6620649,42	1051092,56	-79,5	297,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,8	19,0	-80,7	21,1	-79,5	21,1	159,8	0,2	297,5	79,8	18,5	-78,4	18,5	-4,8	18,5	157,9	0,4	127,0	79,8	20,5	-78,4	22,3	-78,4	22,3	157,9	0,4	346,3	74,7	46,4	-73,1	47,3	-179,7	0,0	147,8	0,4	0,0	79,8	10,2	-78,4	12,6	179,1	23,2	157,9	0,2	222,8	80,8	19,0	-80,7	21,1	-79,5	21,1	159,8	0,2	297,5	
8,0	1	7,0	1	8,0	21,2	159,0	0,1	2000	NaN	NaN	C	729	63,0	70,1	55	59,3614088	24,7164837	6620648,45	1051092,35	-80,4	302,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	79,2	19,1	-80,4	21,2	-80,4	21,2	159,0	0,1	302,4	79,2	18,9	-78,4	18,9	0,8	18,9	157,3	0,3	130,6	79,2	20,4	-78,4	23,1	-78,4	23,1	157,3	0,3	344,1	75,2	46,8	-73,9	48,7	-179,6	0,0	148,5	0,3	0,0	78,8	10,0	-79,8	12,9	179,7	23,7	158,5	0,1	227,1	79,2	19,1	-80,4	21,2	-80,4	21,2	159,0	0,1	302,4	
9,0	1	8,0	1	9,0	21,4	165,5	0,1	2000	NaN	NaN	C	784	63,1	70,1	56	59,3614005	24,7164776	6620647,47	1051092,14	-81,4	305,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	84,3	18,7	-81,4	21,4	-81,4	21,4	165,5	0,1	305,7	84,3	18,7	-80,1	18,7	-1,9	18,7	162,8	0,3	141,0	81,3	20,0	-80,1	22,8	-80,1	22,8	161,8	0,3	357,1	73,3	46,1	-75,8	48,0	-179,6	0,0	148,0	0,3	0,0	80,3	9,7	-80,1	12,9	179,8	23,5	160,7	0,1	219,8	84,3	18,7	-81,4	21,4	-81,4	21,4	165,5	0,1	305,7	
10,0	1	9,0	1	10,0	21,2	163,0	0,0	2000	NaN	NaN	C	839	63,1	70,1	56	59,3613921	24,7164715	6620646,50	1051091,94	-81,4	307,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	81,3	19,1	-81,7	21,2	-81,4	21,2	163,0	0,0	307,6	81,3	18,8	-81,0	18,8	-3,9	18,8	162,0	0,2	138,8	81,3	20,7	-81,4	22,4	-80,7	22,6	162,0	0,2	353,5	75,7	46,2	-75,3	46,8	-179,5	0,0	149,7	0,2	0,0	81,3	10,1	-81,4	12,6	179,2	23,5	162,3	0,0	222,3	81,3	19,1	-81,7	21,2	-81,4	21,2	163,0	0,0	307,6	
