ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99098_felt2___20260313-150110.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-150110

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 15:01:10
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 900
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99098,7448540896
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 901	: 1	: 	: 93	: 1	: 99098	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
1,0	1	99999,0	1	99998,0	NaN	NaN	NaN	2000	NaN	NaN	B	0	72,0	NaN	NaN	59,3542004	24,7113611	6619808,76	1050920,54	NaN	NaN	False	NaN	154,5	_	65	NaN	_	NaN	NaN	_	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2,0	1	99998,0	1	99997,0	23,3	167,0	-2,2	2000	NaN	NaN	C	7	72,0	71,7	56	59,3542016	24,7113619	6619808,90	1050920,57	75,7	326,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,7	23,3	-91,4	17,9	75,7	23,3	167,0	-2,2	326,2	75,0	18,8	-91,4	18,8	-14,5	18,8	166,4	-2,4	147,8	75,0	24,8	-91,4	19,4	75,0	24,8	166,4	-2,4	377,9	67,1	51,2	-81,8	43,7	-179,4	0,0	148,9	-2,4	0,0	75,0	13,0	-91,4	9,4	162,7	25,7	166,4	-2,2	237,9	75,7	23,3	-91,4	17,9	75,7	23,3	167,0	-2,2	326,2	
3,0	1	99997,0	1	99996,0	23,3	162,3	-2,0	2000	NaN	NaN	C	14	72,0	71,7	57	59,3542028	24,7113628	6619809,04	1050920,59	73,6	314,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	73,6	23,3	-88,7	18,0	73,6	23,3	162,3	-2,0	314,7	73,0	19,4	-88,7	19,4	-15,7	19,4	161,7	-2,1	138,5	73,0	24,2	-88,7	19,1	73,0	24,2	161,7	-2,1	346,4	63,2	49,9	-80,5	43,0	-179,3	0,0	143,7	-2,1	0,0	73,0	13,2	-88,7	10,1	163,4	25,3	161,7	-2,0	232,4	73,6	23,3	-88,7	18,0	73,6	23,3	162,3	-2,0	314,7	
4,0	1	99996,0	1	99995,0	23,5	164,4	-1,8	2000	NaN	NaN	C	21	72,0	71,7	57	59,3542040	24,7113636	6619809,18	1050920,62	74,9	342,3	False	NaN	155,9	_	66	NaN	_	NaN	NaN	_	NaN	74,9	23,5	-89,5	19,2	74,9	23,5	164,4	-1,8	342,3	71,6	19,8	-89,5	19,8	-15,8	19,8	161,1	-1,9	149,9	74,3	25,0	-88,0	20,9	74,3	25,0	162,3	-1,9	393,2	65,7	50,9	-80,0	45,1	-179,2	0,0	145,8	-1,9	0,0	71,6	13,0	-88,0	10,2	163,7	25,8	159,7	-1,8	241,0	74,9	23,5	-89,5	19,2	74,9	23,5	164,4	-1,8	342,3	
5,0	1	99995,0	1	99994,0	23,5	160,5	-1,7	2000	NaN	NaN	C	28	72,0	71,7	57	59,3542040	24,7113636	6619809,18	1050920,62	71,6	321,4	False	NaN	155,1	_	66	NaN	_	NaN	NaN	_	NaN	71,6	23,5	-88,9	19,0	71,6	23,5	160,5	-1,7	321,4	71,6	20,3	-88,9	20,3	-16,9	20,3	160,5	-1,8	144,1	71,6	24,2	-88,9	19,7	71,6	24,2	160,5	-1,8	344,7	65,1	49,6	-80,8	43,7	-179,9	0,0	145,9	-1,8	0,0	71,6	13,5	-88,9	10,5	161,2	25,0	160,5	-1,7	234,1	71,6	23,5	-88,9	19,0	71,6	23,5	160,5	-1,7	321,4	
6,0	1	99994,0	1	99993,0	23,0	159,2	-1,8	2000	NaN	NaN	C	35	72,0	71,7	56	59,3542052	24,7113645	6619809,32	1050920,65	68,3	338,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	68,3	23,0	-90,9	18,9	68,3	23,0	159,2	-1,8	338,5	67,6	19,5	-90,9	19,5	-18,7	19,5	158,5	-2,0	142,0	68,3	24,3	-88,8	20,3	68,3	24,3	157,1	-2,0	382,3	63,1	50,3	-82,6	44,4	-179,3	0,0	145,7	-2,0	0,0	67,6	12,6	-90,9	10,0	161,2	25,2	158,5	-1,8	238,4	68,3	23,0	-90,9	18,9	68,3	23,0	159,2	-1,8	338,5	
7,0	1	99993,0	1	99992,0	22,7	160,5	-1,9	2000	NaN	NaN	C	42	72,0	71,7	56	59,3542064	24,7113653	6619809,46	1050920,68	71,0	323,9	False	NaN	154,7	_	65	NaN	_	NaN	NaN	_	NaN	71,0	22,7	-89,5	19,5	71,0	22,7	160,5	-1,9	323,9	71,0	19,8	-89,5	19,8	-14,0	19,8	160,5	-2,0	141,5	71,0	24,1	-89,5	20,8	71,0	24,1	160,5	-2,0	366,7	64,4	49,4	-84,6	44,2	-179,5	0,0	149,0	-2,0	0,0	71,0	12,7	-89,5	11,0	162,3	25,0	160,5	-1,9	236,4	71,0	22,7	-89,5	19,5	71,0	22,7	160,5	-1,9	323,9	
8,0	1	99992,0	1	99991,0	24,5	155,4	-2,2	2000	NaN	NaN	C	49	72,0	71,7	56	59,3542076	24,7113662	6619809,60	1050920,71	68,3	352,8	False	NaN	155,1	_	65	NaN	_	NaN	NaN	_	NaN	68,3	24,5	-87,1	18,7	68,3	24,5	155,4	-2,2	352,8	64,6	20,4	-92,1	20,4	-16,9	20,4	156,7	-2,5	150,4	68,3	25,6	-87,1	19,8	68,3	25,6	155,4	-2,5	387,9	64,6	52,6	-81,8	44,1	-179,5	0,0	146,3	-2,5	0,0	68,3	13,6	-87,1	9,5	165,5	26,7	155,4	-2,2	240,4	68,3	24,5	-87,1	18,7	68,3	24,5	155,4	-2,2	352,8	
9,0	1	99991,0	1	99990,0	23,9	167,8	-2,0	2000	NaN	NaN	C	56	72,0	71,7	56	59,3542088	24,7113670	6619809,74	1050920,74	75,7	336,9	False	NaN	156,0	_	65	NaN	_	NaN	NaN	_	NaN	75,7	23,9	-92,2	19,2	75,7	23,9	167,8	-2,0	336,9	73,6	21,4	-92,2	21,4	-16,3	21,4	165,8	-2,2	172,5	75,7	23,9	-92,2	19,2	75,7	23,9	167,8	-2,2	337,0	68,3	48,5	-83,3	41,7	-179,5	0,0	151,6	-2,2	0,0	75,7	13,2	-92,2	10,5	159,7	24,8	167,8	-2,0	231,5	75,7	23,9	-92,2	19,2	75,7	23,9	167,8	-2,0	336,9	
10,0	1	99990,0	1	99989,0	22,7	162,3	-1,7	2000	NaN	NaN	C	63	72,0	71,7	56	59,3542100	24,7113679	6619809,88	1050920,77	74,9	330,0	False	NaN	156,0	_	66	NaN	_	NaN	NaN	_	NaN	74,9	22,7	-87,4	18,1	74,9	22,7	162,3	-1,7	330,0	70,9	19,0	-89,5	19,0	-11,0	19,0	160,4	-1,9	140,0	70,9	23,8	-87,4	19,5	70,9	23,8	158,3	-1,9	369,8	70,3	49,1	-77,3	44,0	-179,4	0,0	147,6	-1,9	0,0	70,9	12,5	-87,4	9,4	159,3	24,5	158,3	-1,7	234,9	74,9	22,7	-87,4	18,1	74,9	22,7	162,3	-1,7	330,0	
