ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99096_felt2___20260313-145233.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-145233

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:52:33
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 902
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99096,669815277
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 903	: 1	: 	: 93	: 1	: 99096	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
1,0	1	99999,0	1	99998,0	NaN	NaN	NaN	2000	NaN	NaN	B	0	66,7	NaN	NaN	59,3541491	24,7113288	6619802,81	1050919,55	NaN	NaN	False	NaN	160,9	_	65	NaN	_	NaN	NaN	_	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2,0	1	99998,0	1	99997,0	24,2	156,6	-2,4	2000	NaN	NaN	C	7	66,7	71,0	56	59,3541502	24,7113296	6619802,94	1050919,58	72,7	372,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	72,7	24,2	-83,9	20,7	72,7	24,2	156,6	-2,4	372,1	72,7	20,6	-83,9	20,6	-13,3	20,6	156,6	-2,5	152,2	72,7	26,0	-83,1	22,7	72,7	26,0	155,9	-2,5	432,4	67,6	52,2	-75,4	47,8	-179,8	0,0	142,9	-2,5	0,0	72,7	12,7	-83,9	11,1	168,4	27,1	156,6	-2,4	257,5	72,7	24,2	-83,9	20,7	72,7	24,2	156,6	-2,4	372,1	
3,0	1	99997,0	1	99996,0	25,3	162,0	-2,7	2000	NaN	NaN	C	14	66,7	71,0	56	59,3541513	24,7113303	6619803,07	1050919,60	76,8	367,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,8	25,3	-85,2	20,1	76,8	25,3	162,0	-2,7	367,8	71,5	20,3	-85,2	20,3	-9,8	20,3	156,7	-2,8	142,2	76,2	27,6	-84,4	22,6	76,2	27,6	160,6	-2,8	445,1	71,5	53,9	-77,8	47,9	-179,3	0,0	149,3	-2,8	0,0	71,5	13,6	-85,2	11,0	171,4	29,1	156,7	-2,7	258,4	76,8	25,3	-85,2	20,1	76,8	25,3	162,0	-2,7	367,8	
4,0	1	99996,0	1	99995,0	24,2	162,9	-2,4	2000	NaN	NaN	C	21	66,7	71,0	57	59,3541524	24,7113311	6619803,20	1050919,63	74,2	356,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,2	24,2	-88,7	20,3	74,2	24,2	162,9	-2,4	356,2	74,2	21,0	-89,4	21,0	-19,2	21,0	163,6	-2,5	161,1	74,2	25,2	-88,7	21,5	74,2	25,2	162,9	-2,5	391,5	66,2	51,1	-83,2	45,6	-178,7	0,0	149,4	-2,5	0,0	74,2	12,9	-88,7	11,3	166,5	26,4	162,9	-2,4	246,2	74,2	24,2	-88,7	20,3	74,2	24,2	162,9	-2,4	356,2	
5,0	1	99995,0	1	99994,0	24,8	162,0	-2,2	2000	NaN	NaN	C	28	66,7	71,0	57	59,3541535	24,7113319	6619803,33	1050919,65	78,1	363,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,1	24,8	-83,9	20,5	78,1	24,8	162,0	-2,2	363,8	78,1	20,8	-86,7	20,8	-8,0	20,8	164,8	-2,4	163,8	78,1	26,5	-83,9	22,4	78,1	26,5	162,0	-2,4	423,7	72,7	52,2	-76,5	47,8	-179,7	0,0	149,3	-2,4	0,0	78,1	13,5	-83,9	11,0	166,2	27,4	162,0	-2,2	252,0	78,1	24,8	-83,9	20,5	78,1	24,8	162,0	-2,2	363,8	
6,0	1	99994,0	1	99993,0	24,0	164,0	-2,1	2000	NaN	NaN	C	35	66,7	71,0	57	59,3541546	24,7113326	6619803,46	1050919,68	80,7	355,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,7	24,0	-83,3	20,6	80,7	24,0	164,0	-2,1	355,5	78,7	20,8	-83,3	20,8	-11,5	20,8	162,0	-2,2	157,6	78,7	25,3	-83,3	22,1	78,7	25,3	162,0	-2,2	401,4	69,5	50,7	-80,6	46,9	-179,0	0,0	150,1	-2,2	0,0	78,7	12,8	-83,3	11,4	169,1	26,3	162,0	-2,1	246,5	80,7	24,0	-83,3	20,6	80,7	24,0	164,0	-2,1	355,5	
7,0	1	99993,0	1	99992,0	24,1	166,8	-2,2	2000	NaN	NaN	C	42	66,7	71,0	56	59,3541557	24,7113334	6619803,59	1050919,70	80,8	356,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,8	24,1	-86,0	20,9	80,8	24,1	166,8	-2,2	356,4	76,1	20,5	-86,0	20,5	-8,0	20,5	162,1	-2,3	152,6	76,1	26,0	-86,0	23,1	76,1	26,0	162,1	-2,3	423,9	74,1	51,3	-79,9	47,4	-180,0	0,0	154,0	-2,3	0,0	76,1	12,8	-86,0	11,8	166,2	27,1	162,1	-2,2	251,1	80,8	24,1	-86,0	20,9	80,8	24,1	166,8	-2,2	356,4	
8,0	1	99992,0	1	99991,0	24,4	162,1	-2,3	2000	NaN	NaN	C	49	66,7	71,0	56	59,3541568	24,7113342	6619803,72	1050919,73	74,2	359,1	False	NaN	161,0	_	65	NaN	_	NaN	NaN	_	NaN	74,2	24,4	-88,0	20,6	74,2	24,4	162,1	-2,3	359,1	74,2	20,8	-88,0	20,8	-12,7	20,8	162,1	-2,4	158,2	74,2	26,0	-88,0	22,3	74,2	26,0	162,1	-2,4	413,9	67,6	51,4	-76,6	46,6	-179,2	0,0	144,2	-2,4	0,0	74,2	13,0	-88,0	11,5	167,4	27,3	162,1	-2,3	253,2	74,2	24,4	-88,0	20,6	74,2	24,4	162,1	-2,3	359,1	
9,0	1	99991,0	1	99990,0	24,4	160,6	-2,7	2000	NaN	NaN	C	56	66,7	71,0	56	59,3541580	24,7113349	6619803,85	1050919,75	72,1	360,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	72,1	24,4	-88,5	20,3	72,1	24,4	160,6	-2,7	360,9	72,1	20,3	-88,5	20,3	-9,8	20,3	160,6	-2,9	153,2	72,1	26,5	-88,5	22,5	72,1	26,5	160,6	-2,9	429,2	66,9	53,4	-79,1	47,6	-179,3	0,0	146,0	-2,9	0,0	72,1	13,3	-88,5	10,9	167,8	27,4	160,6	-2,7	253,0	72,1	24,4	-88,5	20,3	72,1	24,4	160,6	-2,7	360,9	
10,0	1	99990,0	1	99989,0	23,8	160,7	-2,5	2000	NaN	NaN	C	63	66,7	71,0	57	59,3541591	24,7113357	6619803,98	1050919,78	78,2	343,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,2	23,8	-82,5	19,1	78,2	23,8	160,7	-2,5	343,8	72,8	19,9	-82,5	19,9	-19,2	19,9	155,3	-2,6	140,2	78,2	24,9	-82,5	20,5	78,2	24,9	160,7	-2,6	384,1	72,2	50,4	-74,6	45,4	-179,8	0,0	146,8	-2,6	0,0	72,8	12,7	-82,5	10,4	167,7	26,1	155,3	-2,5	249,2	78,2	23,8	-82,5	19,1	78,2	23,8	160,7	-2,5	343,8	
